Numurs,stils,dizains,Jauns,Apkārtne,Mēbeles,Santehnika,Gads,Atsauksmes,Atrašanās vieta,Guļamistabas,Gultas,Cena,Numura kvadratr,Vesels mājoklis,Iekļautas brokastis,Iekļauts SPA,Terase,Sauna,Autostavveita,Wi-fi,Veļas mazgājamā masīna,Virtuve,Dārzs,Grils,Privāta vannas istaba,baseins,restorāns,apkalpošana numura,brokastis,bārs
671,0,0,0,0,0,0,2022,9.8,9.9,1,4,108,24,1,0,0,1,0,1,1,0,1,1,1,1,0,0,0,0,0
672,0,0,0,0,0,0,2010,8.1,9,0,2,65,18,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1
673,0,0,0,0,0,0,2010,8.1,9,0,2,83,18,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1
674,0,0,0,0,0,0,2010,8.1,9,0,1,81,18,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1
675,0,0,0,0,0,0,2010,8.1,9,0,2,87,21,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1
676,0,0,0,0,0,0,2010,8.1,9,0,2,97,21,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1
677,0,0,0,0,0,0,2010,8.1,9,0,2,107,21,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1
678,0,0,0,0,0,0,2010,8.1,9,0,3,79,21,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1
679,0,0,0,0,0,0,2010,8.1,9,0,3,117,21,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1
680,0,0,0,0,0,0,2010,8.1,9,0,1,96,21,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1
681,0,0,0,0,0,0,2010,8.1,9,0,2,122,28,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1
682,0,0,0,0,0,0,2010,8.1,9,0,2,128,28,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1
683,0,0,0,0,0,0,2010,8.1,9,0,2,142,28,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1
684,0,0,0,0,0,0,2010,8.1,9,0,3,110,28,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1
685,0,0,0,0,0,0,2010,8.1,9,0,1,131,28,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1
686,0,0,0,0,0,0,2010,8.1,9,0,2,172,46,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1
687,0,0,0,0,0,0,2010,8.1,9,0,2,192,46,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1
688,0,0,0,0,0,0,2010,8.1,9,0,1,181,46,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1
689,0,0,0,0,0,0,2010,8.1,9,0,1,60,15,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1
690,0,0,0,0,0,0,2010,8.1,9,0,1,69,15,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1
691,0,0,0,0,0,0,2010,7.1,8.7,0,2,35,15,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1
692,0,0,0,0,0,0,2017,9.2,9.2,0,2,149,27,0,1,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1
693,0,0,0,0,0,0,2017,9.2,9.2,0,2,174,35,0,1,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1
694,0,0,0,0,0,0,2017,9.2,9.2,0,3,229,35,0,1,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1
695,0,0,0,0,0,0,2017,9.2,9.2,0,2,199,35,0,1,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1
696,0,0,0,0,0,0,2017,9.2,9.2,0,3,254,35,0,1,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1
697,0,0,0,0,0,0,2017,9.2,9.2,0,2,225,40,0,1,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1
698,0,0,0,0,0,0,2017,9.2,9.2,0,3,280,40,0,1,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1
699,0,0,0,0,0,0,2017,9.2,9.2,0,4,335,40,0,1,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1
700,0,0,0,0,0,0,2010,8.8,9.4,0,2,63,18,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1
701,0,0,0,0,0,0,2010,8.8,9.4,0,2,69,18,0,1,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1
702,0,0,0,0,0,0,2010,8.8,9.4,0,1,58,18,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1
703,0,0,0,0,0,0,2010,8.8,9.4,0,1,63,18,0,1,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1
704,0,0,0,0,0,0,2010,8.8,9.4,0,2,63,26,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1
705,0,0,0,0,0,0,2010,8.8,9.4,0,2,69,26,0,1,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1
706,0,0,0,0,0,0,2010,8.8,9.4,0,1,58,26,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1
707,0,0,0,0,0,0,2010,8.8,9.4,0,1,63,26,0,1,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1
708,0,0,0,0,0,0,2010,8.8,9.4,0,2,71,22,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1
709,0,0,0,0,0,0,2010,8.8,9.4,0,2,76,22,0,1,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1
710,0,0,0,0,0,0,2010,8.8,9.4,0,1,68,22,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1
711,0,0,0,0,0,0,2010,8.8,9.4,0,1,72,22,0,1,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1
712,0,0,0,0,0,0,2010,8.8,9.4,0,2,88,24,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1
713,0,0,0,0,0,0,2010,8.8,9.4,0,2,93,24,0,1,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1
714,0,0,0,0,0,0,2010,8.8,9.4,0,3,104,24,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1
715,0,0,0,0,0,0,2010,8.8,9.4,0,3,109,24,0,1,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1
716,0,0,0,0,0,0,2010,8.8,9.4,0,1,78,24,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1
717,0,0,0,0,0,0,2010,8.8,9.4,0,1,84,24,0,1,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1
718,0,0,0,0,0,0,2010,8.8,9.4,0,2,94,32,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1
719,0,0,0,0,0,0,2010,8.8,9.4,0,2,98,32,0,1,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1
720,0,0,0,0,0,0,2010,8.8,9.4,0,1,86,32,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1
721,0,0,0,0,0,0,2010,8.8,9.4,0,1,91,32,0,1,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1
722,0,0,0,0,0,0,2010,8.8,9.4,0,2,140,42,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1
723,0,0,0,0,0,0,2010,8.8,9.4,0,2,145,42,0,1,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1
724,0,0,0,0,0,0,2010,8.8,9.4,0,1,131,42,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1
725,0,0,0,0,0,0,2010,8.8,9.4,0,1,136,42,0,1,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1
726,0,0,0,0,0,0,2010,8.8,9.4,0,1,50,16,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1
727,0,0,0,0,0,0,2010,8.8,9.4,0,1,55,16,0,1,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1
728,0,0,0,0,0,0,2022,9.3,9.3,0,2,43,15,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1
729,0,0,0,0,0,0,2022,9.3,9.3,0,2,59,21,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1
730,0,0,0,0,0,0,2022,9.3,9.3,0,2,68,44,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1
731,0,0,0,0,0,0,2022,9.3,9.3,0,3,80,44,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1
732,0,0,0,0,0,0,2022,9.3,9.3,0,4,92,44,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1
733,0,0,0,0,0,0,2022,9.3,9.3,0,2,59,24,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1
734,0,0,0,0,0,0,2020,9,9.5,0,2,50,16,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
735,0,0,0,0,0,0,2020,9,9.5,0,2,60,16,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
736,0,0,0,0,0,0,2020,9,9.5,0,3,60,22,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
737,0,0,0,0,0,0,2020,9,9.5,0,5,90,30,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
738,0,0,0,0,0,0,2015,9.1,9.3,0,2,113,61,1,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0
739,0,0,0,0,0,0,2015,9.1,9.3,0,3,123,61,1,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0
740,0,0,0,0,0,0,2015,9.1,9.3,0,4,133,61,1,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0
741,0,0,0,0,0,0,2015,9.1,9.3,0,5,143,61,1,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0
742,0,0,0,0,0,0,2015,9.1,9.3,0,6,153,61,1,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0
743,0,0,0,0,0,0,2015,9.1,9.3,0,2,118,55,1,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0
744,0,0,0,0,0,0,2015,9.1,9.3,0,3,128,55,1,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0
745,0,0,0,0,0,0,2015,9.1,9.3,0,4,138,55,1,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0
746,0,0,0,0,0,0,2015,9.1,9.3,0,5,148,55,1,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0
747,0,0,0,0,0,0,2015,9.1,9.3,0,6,158,55,1,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0
748,0,0,0,0,0,0,2015,9.1,9.3,0,2,123,98,1,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0
749,0,0,0,0,0,0,2015,9.1,9.3,0,3,133,98,1,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0
750,0,0,0,0,0,0,2015,9.1,9.3,0,4,143,98,1,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0
751,0,0,0,0,0,0,2015,9.1,9.3,0,5,153,98,1,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0
752,0,0,0,0,0,0,2015,9.1,9.3,0,6,163,98,1,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0
753,0,0,0,0,0,0,2015,9.1,9.3,0,2,127,62,1,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0
754,0,0,0,0,0,0,2015,9.1,9.3,0,3,137,62,1,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0
755,0,0,0,0,0,0,2015,9.1,9.3,0,4,147,62,1,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0
756,0,0,0,0,0,0,2015,9.1,9.3,0,5,157,62,1,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0
757,0,0,0,0,0,0,2015,9.1,9.3,0,6,167,62,1,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0
758,0,0,0,0,0,0,2015,9.1,9.3,0,5,162,100,1,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0
759,0,0,0,0,0,0,2015,9.1,9.3,0,6,172,100,1,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0
760,0,0,0,0,0,0,2015,9.1,9.3,0,7,182,100,1,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0
761,0,0,0,0,0,0,2015,9.1,9.3,0,8,192,100,1,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0
762,0,0,0,0,0,0,2021,9.8,9.8,1,2,110,100,1,0,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0
763,0,0,0,0,0,0,2021,9.8,9.8,1,3,125,100,1,0,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0
764,0,0,0,0,0,0,2021,9.8,9.8,1,4,140,100,1,0,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0
765,0,0,0,0,0,0,2021,9.6,9.1,1,2,75,65,1,0,0,1,0,1,1,1,1,1,0,1,0,0,0,0,0
766,0,0,0,0,0,0,2021,9.6,9.1,1,3,95,65,1,0,0,1,0,1,1,1,1,1,0,1,0,0,0,0,0
767,0,0,0,0,0,0,2021,9.6,9.1,1,4,110,65,1,0,0,1,0,1,1,1,1,1,0,1,0,0,0,0,0
768,0,0,0,0,0,0,2021,9.6,9.1,1,1,45,65,1,0,0,1,0,1,1,1,1,1,0,1,0,0,0,0,0
769,0,0,0,0,0,0,2021,9.6,9.1,1,2,85,80,1,0,0,1,0,1,1,1,1,1,0,1,0,0,0,0,0
770,0,0,0,0,0,0,2021,9.6,9.1,1,3,110,80,1,0,0,1,0,1,1,1,1,1,0,1,0,0,0,0,0
771,0,0,0,0,0,0,2021,9.6,9.1,1,4,130,80,1,0,0,1,0,1,1,1,1,1,0,1,0,0,0,0,0
772,0,0,0,0,0,0,2021,9.6,9.1,1,1,55,80,1,0,0,1,0,1,1,1,1,1,0,1,0,0,0,0,0
773,0,0,0,0,0,0,2014,8.2,8.7,0,2,45,18,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1
774,0,0,0,0,0,0,2014,8.2,8.7,0,2,55,24,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1
775,0,0,0,0,0,0,2014,8.2,8.7,0,2,70,26,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1
776,0,0,0,0,0,0,2014,8.2,8.7,0,2,80,29,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1
777,0,0,0,0,0,0,2014,8.2,8.7,0,5,90,25,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1
778,0,0,0,0,0,0,2014,8.2,8.7,0,4,75,19,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1
779,0,0,0,0,0,0,2014,9.2,9,0,2,15,16,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
780,0,0,0,0,0,0,2014,9.2,9,0,3,22,16,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
781,0,0,0,0,0,0,2014,9.2,9,0,4,29,16,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
782,0,0,0,0,0,0,2014,9.2,9,0,5,36,16,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
783,0,0,0,0,0,0,2014,9.2,9,0,6,43,16,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
784,0,0,0,0,0,0,2014,9.2,9,0,2,30,22,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
785,0,0,0,0,0,0,2014,9.2,9,0,2,40,85,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
786,0,0,0,0,0,0,2014,9.2,9,0,3,46,85,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
787,0,0,0,0,0,0,2014,9.2,9,0,4,52,85,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
788,0,0,0,0,0,0,2014,9.2,9,0,5,58,85,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
789,0,0,0,0,0,0,2014,9.2,9,0,6,64,85,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
790,0,0,0,0,0,0,2014,9.2,9,0,7,70,85,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
791,0,0,0,0,0,0,2014,9.2,9,0,8,76,85,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
792,0,0,0,0,0,0,2014,9.2,9,0,2,50,30,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
793,0,0,0,0,0,0,2014,9.2,9,0,3,60,30,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
794,0,0,0,0,0,0,2014,9.2,9,0,4,70,30,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
795,0,0,0,0,0,0,2012,8.4,9.2,0,2,39,18,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1
796,0,0,0,0,0,0,2012,8.4,9.2,0,1,34,18,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1
797,0,0,0,0,0,0,2012,8.4,9.2,0,2,45,18,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1
798,0,0,0,0,0,0,2012,8.4,9.2,0,3,50,18,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1
799,0,0,0,0,0,0,2012,8.4,9.2,0,4,58,28,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1
800,0,0,0,0,0,0,2014,8.1,8.3,0,2,60,17,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0
801,0,0,0,0,0,0,2014,8.1,8.3,0,2,72,23,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0
802,0,0,0,0,0,0,2014,8.1,8.3,0,2,86,40,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0
803,0,0,0,0,0,0,2014,8.1,8.3,0,2,108,56,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0
804,0,0,0,0,0,0,2014,8.1,8.3,0,4,117,33,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0
805,0,0,0,0,0,0,2014,8.1,8.3,0,1,41,15,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0
806,0,0,0,0,0,0,2012,7.9,8.3,0,2,29,15,1,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0
807,0,0,0,0,0,0,2012,7.9,8.3,0,1,27,15,1,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0
808,0,0,0,0,0,0,2012,7.9,8.3,0,2,43,30,1,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0
809,0,0,0,0,0,0,2012,7.9,8.3,0,1,40,30,1,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0
810,0,0,0,0,0,0,2012,7.9,8.3,0,2,54,36,1,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0
811,0,0,0,0,0,0,2012,7.9,8.3,0,3,62,36,1,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0
812,0,0,0,0,0,0,2012,7.9,8.3,0,4,70,36,1,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0
813,0,0,0,0,0,0,2012,7.9,8.3,0,1,50,36,1,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0
814,0,0,0,0,0,0,2005,8.4,9.6,0,2,92,20,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0
815,0,0,0,0,0,0,2005,8.4,9.6,0,2,102,20,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0
816,0,0,0,0,0,0,2005,8.4,9.6,0,2,104,25,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0
817,0,0,0,0,0,0,2005,8.4,9.6,0,2,114,25,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0
818,0,0,0,0,0,0,2005,8.4,9.6,0,2,109,29,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0
819,0,0,0,0,0,0,2022,9,8.5,0,2,50,24,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0
820,0,0,0,0,0,0,2022,9,8.5,0,1,45,24,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0
821,0,0,0,0,0,0,2022,9,8.5,0,3,65,43,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0
822,0,0,0,0,0,0,2022,9,8.5,0,4,80,43,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0
823,0,0,0,0,0,0,2012,9.1,9.6,0,2,50,17,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1
824,0,0,0,0,0,0,2012,9.1,9.6,0,2,70,17,0,1,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1
825,0,0,0,0,0,0,2012,9.1,9.6,0,1,60,17,0,1,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1
826,0,0,0,0,0,0,2012,9.1,9.6,0,2,55,17,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1
827,0,0,0,0,0,0,2012,9.1,9.6,0,2,75,17,0,1,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1
828,0,0,0,0,0,0,2012,9.1,9.6,0,1,65,17,0,1,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1
829,0,0,0,0,0,0,2012,9.1,9.6,0,2,80,16,0,1,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1
830,0,0,0,0,0,0,2012,9.1,9.6,0,3,60,16,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1
831,0,0,0,0,0,0,2012,9.1,9.6,0,3,90,16,0,1,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1
832,0,0,0,0,0,0,2012,9.1,9.6,0,1,70,16,0,1,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1
833,0,0,0,0,0,0,2013,8.8,9.4,0,2,48,15,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
834,0,0,0,0,0,0,2013,8.8,9.4,0,1,30,15,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
835,0,0,0,0,0,0,2020,9.2,9.6,0,2,70,23,0,1,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1
836,0,0,0,0,0,0,2020,9.2,9.6,0,1,60,23,0,1,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1
837,0,0,0,0,0,0,2020,9.2,9.6,0,2,75,22,0,1,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1
838,0,0,0,0,0,0,2020,9.2,9.6,0,3,85,22,0,1,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1
839,0,0,0,0,0,0,2020,9.2,9.6,0,1,70,22,0,1,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1
840,0,0,0,0,0,0,2020,9.2,9.6,0,2,75,15,0,1,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1
841,0,0,0,0,0,0,2020,9.2,9.6,0,1,65,15,0,1,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1
842,0,0,0,0,0,0,2020,9.2,9.6,0,2,80,25,0,1,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1
843,0,0,0,0,0,0,2020,9.2,9.6,0,3,90,25,0,1,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1
844,0,0,0,0,0,0,2020,9.2,9.6,0,4,100,25,0,1,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1
845,0,0,0,0,0,0,2020,9.2,9.6,0,1,75,25,0,1,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1
846,0,0,0,0,0,0,2020,9.2,9.6,0,2,85,30,0,1,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1
847,0,0,0,0,0,0,2020,9.2,9.6,0,3,95,30,0,1,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1
848,0,0,0,0,0,0,2020,9.2,9.6,0,4,105,30,0,1,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1
849,0,0,0,0,0,0,2020,9.2,9.6,0,1,80,30,0,1,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1
850,0,0,0,0,0,0,2020,9.2,9.6,0,2,100,30,0,1,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1
851,0,0,0,0,0,0,2020,9.2,9.6,0,3,110,30,0,1,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1
852,0,0,0,0,0,0,2020,9.2,9.6,0,4,120,30,0,1,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1
853,0,0,0,0,0,0,2015,9,9.1,0,2,55,15,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0
854,0,0,0,0,0,0,2015,9,9.1,0,3,70,15,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0
855,0,0,0,0,0,0,2015,9,9.1,0,2,60,17,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0
856,0,0,0,0,0,0,2015,9,9.1,0,3,75,17,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0
857,0,0,0,0,0,0,2015,9,9.1,0,2,63,15,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0
858,0,0,0,0,0,0,2015,9,9.1,0,1,50,15,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0
859,0,0,0,0,0,0,2015,9,9.1,0,2,65,20,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0
860,0,0,0,0,0,0,2015,9,9.1,0,3,80,20,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0
861,0,0,0,0,0,0,2015,9,9.1,0,4,95,20,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0
862,0,0,0,0,0,0,2015,9,9.1,0,2,80,26,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0
863,0,0,0,0,0,0,2015,9,9.1,0,3,95,26,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0
864,0,0,0,0,0,0,2014,9.2,9.1,0,2,35,16,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0
865,0,0,0,0,0,0,2014,9.2,9.1,0,2,50,24,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0
866,0,0,0,0,0,0,2014,9.2,9.1,0,1,25,15,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0
867,0,0,0,0,0,0,2014,8.4,9.1,0,2,69,20,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1
868,0,0,0,0,0,0,2014,8.4,9.1,0,2,78,20,0,1,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1
869,0,0,0,0,0,0,2014,8.4,9.1,0,1,63,20,0,1,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1
870,0,0,0,0,0,0,2014,8.4,9.1,0,2,88,25,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1
871,0,0,0,0,0,0,2014,8.4,9.1,0,2,96,25,0,1,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1
872,0,0,0,0,0,0,2014,8.4,9.1,0,3,101,25,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1
873,0,0,0,0,0,0,2014,8.4,9.1,0,3,109,25,0,1,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1
874,0,0,0,0,0,0,2014,8.4,9.1,0,1,81,25,0,1,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1
875,0,0,0,0,0,0,2014,8.4,9.1,0,2,115,30,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1
876,0,0,0,0,0,0,2014,8.4,9.1,0,2,123,30,0,1,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1
877,0,0,0,0,0,0,2014,8.4,9.1,0,3,128,30,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1
